UMAP1,UMAP2,company
25.529774,-46.41039,KOCH Gruppe - Die Industrie-Prozess-Gestalter
0.770093,1.0928644,Newfold Digital
-0.14274865,-32.774506,heineken
2.8858008,-1.7678033,Tricon IT Solutions (For End Clients)
-3.7820525,3.044106,Vendermac
-2.8668013,-21.350065,eNamix
-1.4956003,5.9719257,Mississippi Consultants LLP
-0.61900294,3.6774876,Importante empresa del sector
3.3278353,0.2549718,Frontiers Media
6.442284,-5.335233,swiss post solutions
-21.620441,-24.554235,TechTiera Corporation
-2.5746088,4.8143167,Supreme Executives Limited
-4.1277666,-7.5623574,Kramp
41.790512,-13.845966,Alliance Laundry
10.248076,-5.9638095,Hikma Pharmaceuticals PLC
-6.2638226,6.113541,Novalytica AG
2.6955647,-1.7242057,Mantu
4.320414,0.110436566,Golden Technology Inc
-0.32330585,5.099004,NORC at the University of Chicago
-6.90996,26.411165,Morgan State University
1.5319588,2.6088908,JISC
35.503857,0.05959939,"CoStar Realty Information, Inc."
-0.8992559,1.2499176,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน)
35.466248,0.049834736,Rentokil Initial Singapore Pte Ltd
-37.570316,29.954857,XPENG
-1.4950718,5.973214,Grupo NS
-0.15400253,-32.79132,VALLUM ASSOCIATES LIMITED
1.0306866,-1.041436,MDOS Consulting
11.418244,-10.306089,EMJ
-2.968639,1.7364951,APSIDE BELGIUM
19.005848,-24.216898,BlueCare AG
-2.8494935,-21.335915,ANOTECH
-6.928873,26.431223,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK PROVINSI DKI JAKARTA"
-21.75387,-24.46507,Green Code
-0.9552803,0.9715956,Ing. Ernst Steiner High-Tech Personalbereitstellungs- und Technische Dienstleistungsges.m.b.H
13.893704,12.431085,TONOMUS
1.50726,3.2797468,Market Scope
-1.2145039,1.5890156,Warrior Tech Solutions LLC
13.87464,12.455225,Newport News Nuclear Bwxt Los Alamos Llc
35.776287,0.34064204,CCB Management Services GmbH
3.1936746,-1.6245826,Flawless AI
1.092683,0.82657963,Bosch Romania
-8.987005,16.54361,Argot Partners
8.1266,0.9124083,Klantenvertellen B.V.
35.782707,0.11201358,New Personnel Builders and Consultancy Services Inc.
19.679857,-23.970974,Royal Flying Doctor Service
0.85399026,2.6406991,Equinix
41.8035,-13.830971,Grupo Merpes S.A.S
-0.24071948,3.9971626,"Employment - FAFCO, Inc."
1.2550592,3.0373504,Jones Lang LaSalle
-3.4297507,8.140159,Heubach
35.887886,0.35304123,Noor Staffing Group
1.4567981,5.388615,Cinfo
1.1498536,-2.9546518,Data Affect
16.294428,-2.669244,Maxxima Ltd
-1.0219221,4.7660303,Aptitude Global
-4.006569,-7.157592,Contentsquare
0.7073522,1.2830962,Focused HR Solutions
1.1201742,0.87943953,"Technomics, Inc."
-8.898749,9.57578,Huawei Latinoamérica
-3.437788,8.13328,Demand Science
0.74516404,2.373162,Tech Force
35.61134,0.07824834,RB Consulting Inc.
-2.902667,-0.16529833,Roadmap
35.583073,0.041066963,Dave & Buster's
1.5474629,2.68648,Keasis
4.8107567,-13.077829,Novartis Gene Therapies
13.883929,12.448444,Forfeiture Support Associates
3.2969165,1.5554304,iParametrics
-0.36482966,2.48539,Randstad Technologies
35.71801,0.22153139,Synlab Italia
5.0484395,-4.5271716,Nasdaq
-0.9454442,0.91538674,Prex
-3.1984093,0.10604551,ParkMobile
19.0005,-24.228241,DOST Rəqəmsal İnnovasiyalar Mərkəzi
3.6727781,0.1513806,Apersona Pte. Ltd.
-1.7938157,4.389078,The University of Texas at Austin
36.141483,0.29317942,PP Associates
36.184166,0.3432539,Engel & Völkers - Zentrale -
-6.1693506,0.87156445,Just AI
-37.56407,29.92469,MED-EL Elektromedizinische Geräte GmbH
-21.634373,-24.617474,IT sure GmbH
-6.124344,1.3645223,Saas Labs US Inc.
-3.4350626,8.15068,Bingoal
36.18407,0.3571719,Hi Sandy Real Estate/Uc Forward Marketing
-0.9072961,4.670832,CYOS Solutions
-0.5956025,4.0327163,Mid-Atlantic Permanente Medical Group PC
0.6986961,5.068317,Popular
35.56785,0.141373,"I-TECH Resources, Inc."
-1.1427232,-2.3066137,Sb Renovation & Construction Pte. Ltd.
-0.36344305,2.3543997,Visionaire Partners
1.0805025,2.593727,Electrolux
35.50799,0.048191734,Integrity Assessment Group
35.619053,0.050186757,Earthscape Play
-3.4333823,5.2903175,Growmodo
6.1592197,-5.2606206,"Fanatics, Inc."
-21.783617,-24.415958,Asia Pacific University Sdn Bhd
35.52544,0.16088988,Amscan Europe GmbH
6.343996,-1.7831173,MindGraph Solutions SDN BHD
-20.46063,24.451727,VDM Metals GmbH
35.79263,0.09135287,Mantality Health
11.414009,-10.302486,WAN WAY Communications
-0.14943394,-32.787563,ESA Headquarters
-0.8815276,3.960608,Acceleras
1.7057105,0.1654702,Advantage Tech
-11.101367,-15.38681,Alpine Solutions Group
-1.1529391,-2.3083594,EssentiallySports
0.8328531,2.3905468,MediaMarktSaturn
-3.314395,5.183714,Alameda County Community Food Bank
-3.1990535,0.0960229,ParkMobile LLC
8.443903,17.883934,PROHUMAN APT SRL
2.91151,-1.7847371,OZ minerals
-2.6359978,0.07087564,"Tech Data Distribution, s.r.o."
-6.7502437,6.546636,RP International Ltd
